Overall Rating,Type Of Traveller,Seat Type,Arrival City,A Country UV,UVA Coordinates,Departure City,D Country UV,UVD Coordinates,Date Flown
10,Business,Economy  ,,,,,,,10/1/2016
4,Business,Premium Economy,,,,,,,10/1/2016
1,Business,Business  ,,,,,,,10/1/2016
3,Couple Leisure,Economy  ,,,,,,,10/1/2016
6,Business,Business  ,,,,,,,10/1/2016
3,Couple Leisure,Business  ,,,,,,,10/1/2016
4,Family Leisure,Business  ,,,,,,,10/1/2016
1,Solo Leisure,Premium Economy,,,,,,,9/1/2016
8,Couple Leisure,Business  ,,,,,,,9/1/2016
1,Business,Premium Economy,,,,,,,10/1/2016
8,Solo Leisure,First  ,,,,,,,10/1/2016
1,Couple Leisure,Economy  ,,,,,,,10/1/2016
2,Couple Leisure,Economy  ,,,,,,,10/1/2016
3,Business,First  ,,,,,,,10/1/2016
1,Solo Leisure,Economy  ,,,,,,,10/1/2016
4,Business,First  ,,,,,,,6/1/2016
3,Solo Leisure,Economy  ,,,,,,,9/1/2016
3,Couple Leisure,Business  ,,,,,,,10/1/2016
2,Solo Leisure,Premium Economy,,,,,,,10/1/2016
1,Solo Leisure,Business  ,,,,,,,10/1/2016
5,Family Leisure,Economy  ,,,,,,,10/1/2016
3,Solo Leisure,First  ,,,,,,,8/1/2016
10,Solo Leisure,Economy  ,,,,,,,10/1/2016
7,Couple Leisure,Economy  ,,,,,,,10/1/2016
1,Couple Leisure,Economy  ,,,,,,,9/1/2016
2,Family Leisure,Economy  ,,,,,,,8/1/2016
1,Solo Leisure,Economy  ,,,,,,,10/1/2016
4,Couple Leisure,First  ,,,,,,,9/1/2016
1,Family Leisure,Economy  ,,,,,,,10/1/2016
3,Couple Leisure,Business  ,,,,,,,10/1/2016
5,Solo Leisure,Economy  ,,,,,,,10/1/2016
3,Couple Leisure,Business  ,,,,,,,10/1/2016
1,Couple Leisure,Economy  ,,,,,,,10/1/2016
2,Family Leisure,Economy  ,,,,,,,9/1/2016
4,Solo Leisure,Economy  ,,,,,,,10/1/2016
2,Business,First  ,,,,,,,7/1/2016
5,Couple Leisure,Economy  ,,,,,,,10/1/2016
8,Solo Leisure,Economy  ,,,,,,,10/1/2016
9,Solo Leisure,Economy  ,,,,,,,10/1/2016
4,Business,Premium Economy,,,,,,,5/1/2016
4,Couple Leisure,Premium Economy,,,,,,,10/1/2016
7,Couple Leisure,Economy  ,,,,,,,9/1/2016
5,Business,Economy  ,,,,,,,10/1/2016
4,Couple Leisure,Business  ,,,,,,,9/1/2016
7,Couple Leisure,Economy  ,,,,,,,9/1/2016
2,Couple Leisure,Economy  ,,,,,,,9/1/2016
3,Couple Leisure,Business  ,,,,,,,9/1/2016
1,Couple Leisure,Economy  ,,,,,,,7/1/2016
2,Family Leisure,Economy  ,,,,,,,9/1/2016
9,Couple Leisure,First  ,,,,,,,9/1/2016
5,Family Leisure,Economy  ,,,,,,,9/1/2016
5,Couple Leisure,Business  ,,,,,,,9/1/2016
8,Couple Leisure,First  ,,,,,,,9/1/2016
8,Couple Leisure,Business  ,,,,,,,9/1/2016
8,Solo Leisure,Premium Economy,,,,,,,9/1/2016
7,Solo Leisure,Economy  ,,,,,,,9/1/2016
5,Solo Leisure,Business  ,,,,,,,9/1/2016
8,Solo Leisure,Business  ,,,,,,,9/1/2016
9,Couple Leisure,Economy  ,,,,,,,9/1/2016
8,Couple Leisure,Economy  ,,,,,,,9/1/2016
1,Business,Premium Economy,,,,,,,9/1/2016
1,Couple Leisure,Economy  ,,,,,,,9/1/2016
8,Business,Premium Economy,,,,,,,9/1/2016
3,Family Leisure,Premium Economy,,,,,,,9/1/2016
5,Business,Economy  ,,,,,,,9/1/2016
3,Family Leisure,Economy  ,,,,,,,9/1/2016
2,Family Leisure,Economy  ,,,,,,,9/1/2016
1,Solo Leisure,Economy  ,,,,,,,9/1/2016
8,Solo Leisure,Business  ,,,,,,,9/1/2016
4,Family Leisure,Economy  ,,,,,,,8/1/2016
1,Solo Leisure,Economy  ,,,,,,,9/1/2016
1,Solo Leisure,Business  ,,,,,,,9/1/2016
3,Couple Leisure,Economy  ,,,,,,,8/1/2016
6,Business,Business  ,,,,,,,9/1/2016
4,Solo Leisure,Economy  ,,,,,,,8/1/2016
1,Couple Leisure,First  ,,,,,,,9/1/2016
2,Couple Leisure,Business  ,,,,,,,9/1/2016
3,Business,Economy  ,,,,,,,9/1/2016
8,Solo Leisure,Economy  ,,,,,,,9/1/2016
5,Solo Leisure,Economy  ,,,,,,,9/1/2016
2,Couple Leisure,Economy  ,,,,,,,8/1/2016
3,Solo Leisure,Economy  ,,,,,,,9/1/2016
4,Family Leisure,Economy  ,,,,,,,9/1/2016
4,Couple Leisure,Business  ,,,,,,,9/1/2016
1,Business,First  ,,,,,,,8/1/2016
8,Couple Leisure,Economy  ,,,,,,,9/1/2016
6,Couple Leisure,Business  ,,,,,,,9/1/2016
4,Solo Leisure,Business  ,,,,,,,9/1/2016
8,Solo Leisure,Business  ,,,,,,,9/1/2016
4,Couple Leisure,Economy  ,,,,,,,9/1/2016
2,Couple Leisure,Economy  ,,,,,,,9/1/2016
9,Family Leisure,Economy  ,,,,,,,9/1/2016
1,Business,Business  ,,,,,,,8/1/2016
2,Business,Business  ,,,,,,,9/1/2016
2,Couple Leisure,Economy  ,,,,,,,9/1/2016
6,Solo Leisure,Economy  ,,,,,,,3/1/2016
4,Family Leisure,Economy  ,,,,,,,8/1/2016
7,Family Leisure,Economy  ,,,,,,,7/1/2016
3,Family Leisure,Business  ,,,,,,,8/1/2016
5,Family Leisure,Business  ,,,,,,,8/1/2016
8,Business,Economy  ,,,,,,,8/1/2016
1,Family Leisure,Economy  ,,,,,,,8/1/2016
10,Business,Economy  ,,,,,,,8/1/2016
3,Family Leisure,Business  ,,,,,,,8/1/2016
6,Solo Leisure,Economy  ,,,,,,,8/1/2016
4,Family Leisure,Economy  ,,,,,,,8/1/2016
7,Solo Leisure,Economy  ,,,,,,,8/1/2016
2,Business,Economy  ,,,,,,,8/1/2016
5,Family Leisure,First  ,,,,,,,7/1/2016
1,Business,Economy  ,,,,,,,8/1/2016
4,Solo Leisure,Economy  ,,,,,,,8/1/2016
4,Couple Leisure,Economy  ,,,,,,,8/1/2016
3,Family Leisure,Premium Economy,,,,,,,8/1/2016
4,Family Leisure,First  ,,,,,,,7/1/2016
1,Business,First  ,,,,,,,8/1/2016
9,Couple Leisure,Business  ,,,,,,,7/1/2016
1,Couple Leisure,Business  ,,,,,,,8/1/2016
7,Business,Economy  ,,,,,,,8/1/2016
3,Solo Leisure,Economy  ,,,,,,,8/1/2016
5,Family Leisure,Economy  ,,,,,,,8/1/2016
7,Solo Leisure,Economy  ,,,,,,,8/1/2016
3,Solo Leisure,Economy  ,,,,,,,8/1/2016
8,Business,Economy  ,,,,,,,8/1/2016
5,Couple Leisure,Business  ,,,,,,,8/1/2016
1,Solo Leisure,Economy  ,,,,,,,8/1/2016
10,Solo Leisure,Economy  ,,,,,,,8/1/2016
7,Solo Leisure,Economy  ,,,,,,,8/1/2016
10,Couple Leisure,Business  ,,,,,,,4/1/2016
1,Business,Business  ,,,,,,,8/1/2016
2,Couple Leisure,Business  ,,,,,,,6/1/2016
3,Solo Leisure,Premium Economy,,,,,,,8/1/2016
1,Solo Leisure,Economy  ,,,,,,,6/1/2016
8,Solo Leisure,Economy  ,,,,,,,8/1/2016
7,Couple Leisure,Business  ,,,,,,,6/1/2016
6,Family Leisure,Business  ,,,,,,,7/1/2016
8,Business,Premium Economy,,,,,,,7/1/2016
6,Solo Leisure,First  ,,,,,,,7/1/2016
7,Couple Leisure,Business  ,,,,,,,4/1/2016
7,Family Leisure,Business  ,,,,,,,7/1/2016
8,Business,Business  ,,,,,,,7/1/2016
8,Solo Leisure,Economy  ,,,,,,,7/1/2016
6,Business,Economy  ,,,,,,,7/1/2016
10,Couple Leisure,Economy  ,,,,,,,7/1/2016
5,Business,Economy  ,,,,,,,7/1/2016
5,Business,Business  ,,,,,,,7/1/2016
1,Couple Leisure,Premium Economy,,,,,,,7/1/2016
1,Family Leisure,Business  ,,,,,,,7/1/2016
1,Couple Leisure,Economy  ,,,,,,,7/1/2016
1,Couple Leisure,Economy  ,,,,,,,7/1/2016
4,Couple Leisure,First  ,,,,,,,7/1/2016
10,Solo Leisure,First  ,,,,,,,7/1/2016
10,Solo Leisure,Business  ,,,,,,,7/1/2016
3,Solo Leisure,Business  ,,,,,,,7/1/2016
7,Couple Leisure,Business  ,,,,,,,7/1/2016
3,Business,First  ,,,,,,,7/1/2016
7,Business,Business  ,,,,,,,7/1/2016
1,Business,Business  ,,,,,,,7/1/2016
3,Couple Leisure,Business  ,,,,,,,7/1/2016
1,Solo Leisure,Economy  ,,,,,,,7/1/2016
2,Solo Leisure,Business  ,,,,,,,6/1/2016
2,Solo Leisure,Business  ,,,,,,,7/1/2016
1,Business,Economy  ,,,,,,,7/1/2016
4,Solo Leisure,Business  ,,,,,,,6/1/2016
2,Business,Business  ,,,,,,,7/1/2016
1,Business,Business  ,,,,,,,3/1/2016
9,Solo Leisure,Economy  ,,,,,,,8/1/2015
2,Solo Leisure,Economy  ,,,,,,,10/1/2015
1,Business,Premium Economy,,,,,,,7/1/2016
8,Business,Business  ,,,,,,,6/1/2016
8,Couple Leisure,First  ,,,,,,,6/1/2016
1,Solo Leisure,Economy  ,,,,,,,6/1/2016
3,Business,Economy  ,,,,,,,6/1/2016
8,Couple Leisure,Economy  ,,,,,,,4/1/2016
6,Couple Leisure,Business  ,,,,,,,6/1/2016
9,Couple Leisure,Business  ,,,,,,,6/1/2016
2,Solo Leisure,Premium Economy,,,,,,,6/1/2016
1,Solo Leisure,Economy  ,,,,,,,6/1/2016
3,Couple Leisure,Economy  ,,,,,,,6/1/2016
3,Couple Leisure,First  ,,,,,,,6/1/2016
3,Solo Leisure,Economy  ,,,,,,,6/1/2016
10,Couple Leisure,Premium Economy,,,,,,,6/1/2016
8,Couple Leisure,Economy  ,,,,,,,6/1/2016
8,Family Leisure,Economy  ,,,,,,,6/1/2016
2,Couple Leisure,Business  ,,,,,,,6/1/2016
2,Couple Leisure,Premium Economy,,,,,,,5/1/2016
2,Family Leisure,Economy  ,,,,,,,6/1/2016
10,Solo Leisure,Economy  ,,,,,,,6/1/2016
1,Family Leisure,First  ,,,,,,,6/1/2016
1,Couple Leisure,Economy  ,,,,,,,5/1/2016
1,Business,Business  ,,,,,,,6/1/2016
5,Business,Economy  ,,,,,,,6/1/2016
3,Couple Leisure,Economy  ,,,,,,,6/1/2016
10,Couple Leisure,Business  ,,,,,,,4/1/2016
8,Solo Leisure,Business  ,,,,,,,5/1/2016
1,Couple Leisure,Economy  ,,,,,,,6/1/2016
2,Couple Leisure,Premium Economy,,,,,,,6/1/2016
4,Solo Leisure,First  ,,,,,,,6/1/2016
7,Solo Leisure,Premium Economy,,,,,,,6/1/2016
3,Couple Leisure,Business  ,,,,,,,6/1/2016
4,Couple Leisure,Business  ,,,,,,,5/1/2016
10,Couple Leisure,Business  ,,,,,,,6/1/2016
8,Solo Leisure,First  ,,,,,,,6/1/2016
8,Couple Leisure,Business  ,,,,,,,6/1/2016
2,Couple Leisure,Premium Economy,,,,,,,5/1/2016
4,Business,Economy  ,,,,,,,6/1/2016
10,Solo Leisure,First  ,,,,,,,6/1/2016
5,Couple Leisure,Economy  ,,,,,,,4/1/2016
7,Couple Leisure,First  ,,,,,,,6/1/2016
3,Couple Leisure,Economy  ,,,,,,,5/1/2016
4,Family Leisure,Economy  ,,,,,,,5/1/2016
5,Couple Leisure,Business  ,,,,,,,5/1/2016
9,Solo Leisure,Economy  ,,,,,,,5/1/2016
3,Solo Leisure,Economy  ,,,,,,,5/1/2016
4,Couple Leisure,Economy  ,,,,,,,5/1/2016
8,Solo Leisure,Economy  ,,,,,,,5/1/2016
8,Solo Leisure,Premium Economy,,,,,,,5/1/2016
5,Couple Leisure,Economy  ,,,,,,,5/1/2016
8,Couple Leisure,Economy  ,,,,,,,5/1/2016
9,Solo Leisure,Business  ,,,,,,,3/1/2016
2,Business,Business  ,,,,,,,5/1/2016
1,Couple Leisure,Economy  ,,,,,,,5/1/2016
7,Solo Leisure,Economy  ,,,,,,,5/1/2016
5,Couple Leisure,Economy  ,,,,,,,5/1/2016
8,Family Leisure,Business  ,,,,,,,5/1/2016
2,Business,Business  ,,,,,,,5/1/2016
10,Solo Leisure,Economy  ,,,,,,,5/1/2016
8,Couple Leisure,Economy  ,,,,,,,5/1/2016
1,Business,Economy  ,,,,,,,5/1/2016
5,Couple Leisure,Economy  ,,,,,,,3/1/2016
1,Couple Leisure,Economy  ,,,,,,,5/1/2016
10,Couple Leisure,Economy  ,,,,,,,5/1/2016
6,Couple Leisure,Economy  ,,,,,,,5/1/2016
5,Couple Leisure,Business  ,,,,,,,5/1/2016
8,Couple Leisure,Economy  ,,,,,,,4/1/2016
4,Couple Leisure,Economy  ,,,,,,,5/1/2016
7,Couple Leisure,Business  ,,,,,,,5/1/2016
8,Couple Leisure,Business  ,,,,,,,5/1/2016
5,Solo Leisure,Economy  ,,,,,,,5/1/2016
2,Couple Leisure,Business  ,,,,,,,5/1/2016
2,Solo Leisure,Economy  ,,,,,,,5/1/2016
7,Family Leisure,Economy  ,,,,,,,5/1/2016
3,Family Leisure,Premium Economy,,,,,,,5/1/2016
9,Solo Leisure,Economy  ,,,,,,,5/1/2016
1,Couple Leisure,Economy  ,,,,,,,5/1/2016
1,Couple Leisure,Business  ,,,,,,,5/1/2016
8,Solo Leisure,Premium Economy,,,,,,,5/1/2016
5,Solo Leisure,Premium Economy,,,,,,,5/1/2016
1,Couple Leisure,Economy  ,,,,,,,5/1/2016
5,Solo Leisure,Economy  ,,,,,,,5/1/2016
3,Solo Leisure,Premium Economy,,,,,,,5/1/2016
7,Business,Business  ,,,,,,,5/1/2016
1,Couple Leisure,Business  ,,,,,,,5/1/2016
3,Couple Leisure,Economy  ,,,,,,,12/1/2015
1,Solo Leisure,Economy  ,,,,,,,5/1/2016
2,Solo Leisure,Economy  ,,,,,,,4/1/2016
3,Solo Leisure,Economy  ,,,,,,,5/1/2016
10,Couple Leisure,Business  ,,,,,,,5/1/2016
2,Solo Leisure,Economy  ,,,,,,,11/1/2015
9,Couple Leisure,First  ,,,,,,,3/1/2016
3,Solo Leisure,Economy  ,,,,,,,4/1/2016
5,Couple Leisure,Economy  ,,,,,,,4/1/2016
3,Business,Business  ,,,,,,,4/1/2016
7,Business,Business  ,,,,,,,4/1/2016
8,Family Leisure,Business  ,,,,,,,4/1/2016
7,Business,Economy  ,,,,,,,4/1/2016
7,Solo Leisure,Economy  ,,,,,,,4/1/2016
10,Family Leisure,Business  ,,,,,,,4/1/2016
5,Family Leisure,Economy  ,,,,,,,4/1/2016
1,Solo Leisure,Economy  ,,,,,,,4/1/2016
1,Family Leisure,Economy  ,,,,,,,4/1/2016
1,Business,Business  ,,,,,,,4/1/2016
7,Couple Leisure,Premium Economy,,,,,,,3/1/2016
9,Couple Leisure,First  ,,,,,,,4/1/2016
3,Business,Economy  ,,,,,,,4/1/2016
10,Solo Leisure,First  ,,,,,,,3/1/2016
10,Couple Leisure,Business  ,,,,,,,4/1/2016
4,Business,Economy  ,,,,,,,4/1/2016
6,Business,Premium Economy,,,,,,,4/1/2016
2,Couple Leisure,Economy  ,,,,,,,4/1/2016
4,Business,First  ,,,,,,,4/1/2016
3,Business,Business  ,,,,,,,2/1/2016
2,Solo Leisure,Economy  ,,,,,,,4/1/2016
1,Family Leisure,Economy  ,,,,,,,4/1/2016
2,Couple Leisure,Economy  ,,,,,,,1/1/2016
10,Couple Leisure,Economy  ,,,,,,,4/1/2016
8,Solo Leisure,Business  ,,,,,,,4/1/2016
8,Solo Leisure,Business  ,,,,,,,2/1/2016
8,Solo Leisure,Economy  ,,,,,,,4/1/2016
7,Solo Leisure,Economy  ,,,,,,,3/1/2016
8,Solo Leisure,Premium Economy,,,,,,,3/1/2016
10,Couple Leisure,Business  ,,,,,,,3/1/2016
8,Solo Leisure,Premium Economy,,,,,,,5/1/2015
9,Couple Leisure,Premium Economy,,,,,,,3/1/2016
8,Family Leisure,Economy  ,,,,,,,4/1/2016
4,Business,Business  ,,,,,,,4/1/2016
5,Solo Leisure,Business  ,,,,,,,4/1/2016
6,Solo Leisure,Economy  ,,,,,,,4/1/2016
2,Solo Leisure,Economy  ,,,,,,,4/1/2016
7,Family Leisure,Business  ,,,,,,,4/1/2016
10,Couple Leisure,Economy  ,,,,,,,4/1/2016
5,Solo Leisure,Economy  ,,,,,,,4/1/2016
8,Business,Economy  ,,,,,,,3/1/2016
9,Couple Leisure,Business  ,,,,,,,3/1/2016
10,Couple Leisure,Business  ,,,,,,,3/1/2016
6,Couple Leisure,Business  ,,,,,,,3/1/2016
7,Business,Business  ,,,,,,,3/1/2016
3,Solo Leisure,Economy  ,,,,,,,3/1/2016
2,Couple Leisure,Business  ,,,,,,,3/1/2016
4,Couple Leisure,Premium Economy,,,,,,,3/1/2016
7,Family Leisure,Economy  ,,,,,,,3/1/2016
7,Family Leisure,Economy  ,,,,,,,3/1/2016
7,Family Leisure,Economy  ,,,,,,,3/1/2016
8,Solo Leisure,Economy  ,,,,,,,3/1/2016
3,Couple Leisure,Business  ,,,,,,,3/1/2016
8,Couple Leisure,Economy  ,,,,,,,3/1/2016
1,Couple Leisure,First  ,,,,,,,3/1/2016
7,Solo Leisure,Economy  ,,,,,,,3/1/2016
7,Solo Leisure,Economy  ,,,,,,,3/1/2016
5,Solo Leisure,Business  ,,,,,,,3/1/2016
10,Solo Leisure,First  ,,,,,,,3/1/2016
10,Solo Leisure,Business  ,,,,,,,3/1/2016
3,Couple Leisure,Economy  ,,,,,,,3/1/2016
6,Business,Economy  ,,,,,,,3/1/2016
3,Couple Leisure,Economy  ,,,,,,,3/1/2016
1,Solo Leisure,Premium Economy,,,,,,,1/1/2016
9,Couple Leisure,Premium Economy,,,,,,,3/1/2016
7,Solo Leisure,Economy  ,,,,,,,1/1/2016
9,Solo Leisure,Business  ,,,,,,,2/1/2016
10,Solo Leisure,Business  ,,,,,,,2/1/2016
1,Couple Leisure,Economy  ,,,,,,,3/1/2016
10,Couple Leisure,Economy  ,,,,,,,3/1/2016
5,Couple Leisure,Premium Economy,,,,,,,3/1/2016
1,Business,Economy  ,,,,,,,3/1/2016
7,Solo Leisure,Economy  ,,,,,,,3/1/2016
8,Solo Leisure,Business  ,,,,,,,2/1/2016
1,Business,Economy  ,,,,,,,3/1/2016
4,Couple Leisure,Premium Economy,,,,,,,11/1/2015
2,Business,Premium Economy,,,,,,,3/1/2016
10,Solo Leisure,Economy  ,,,,,,,3/1/2016
3,Couple Leisure,Business  ,,,,,,,2/1/2016
9,Couple Leisure,Premium Economy,,,,,,,9/1/2015
5,Couple Leisure,Economy  ,,,,,,,3/1/2016
8,Couple Leisure,First  ,,,,,,,3/1/2016
1,Business,Business  ,,,,,,,2/1/2016
8,Couple Leisure,Premium Economy,,,,,,,2/1/2016
2,Business,First  ,,,,,,,2/1/2016
9,Solo Leisure,Economy  ,,,,,,,3/1/2016
8,Business,Economy  ,,,,,,,2/1/2016
8,Solo Leisure,Business  ,,,,,,,2/1/2016
4,Solo Leisure,Economy  ,,,,,,,9/1/2015
3,Business,Business  ,,,,,,,3/1/2016
7,Couple Leisure,Economy  ,,,,,,,2/1/2016
9,Solo Leisure,Economy  ,,,,,,,3/1/2016
9,Business,Business  ,,,,,,,2/1/2016
8,Solo Leisure,Business  ,,,,,,,3/1/2016
7,Solo Leisure,Economy  ,,,,,,,2/1/2016
5,Business,Economy  ,,,,,,,3/1/2016
4,Solo Leisure,Economy  ,,,,,,,3/1/2016
8,Couple Leisure,Economy  ,,,,,,,2/1/2016
9,Solo Leisure,Economy  ,,,,,,,2/1/2016
1,Business,Business  ,,,,,,,2/1/2016
3,Solo Leisure,Business  ,,,,,,,2/1/2016
7,Business,Economy  ,,,,,,,2/1/2016
2,Couple Leisure,Premium Economy,,,,,,,2/1/2016
3,Couple Leisure,First  ,,,,,,,1/1/2016
1,Family Leisure,Premium Economy,,,,,,,8/1/2015
8,Couple Leisure,Business  ,,,,,,,2/1/2016
9,Couple Leisure,Economy  ,,,,,,,1/1/2016
3,Solo Leisure,Premium Economy,,,,,,,2/1/2016
2,Couple Leisure,First  ,,,,,,,2/1/2016
9,Couple Leisure,Economy  ,,,,,,,2/1/2016
1,Family Leisure,Economy  ,,,,,,,2/1/2016
2,Business,Business  ,,,,,,,2/1/2016
6,Couple Leisure,Business  ,,,,,,,2/1/2016
8,Solo Leisure,Economy  ,,,,,,,2/1/2016
1,Solo Leisure,Business  ,,,,,,,2/1/2016
3,Solo Leisure,Business  ,,,,,,,2/1/2016
6,Couple Leisure,Economy  ,,,,,,,2/1/2016
1,Family Leisure,Economy  ,,,,,,,1/1/2016
8,Solo Leisure,Business  ,,,,,,,1/1/2016
9,Couple Leisure,First  ,,,,,,,12/1/2015
7,Family Leisure,Business  ,,,,,,,2/1/2016
3,Family Leisure,Business  ,,,,,,,2/1/2016
8,Solo Leisure,Economy  ,,,,,,,12/1/2015
8,Solo Leisure,Economy  ,,,,,,,1/1/2016
8,Business,Business  ,,,,,,,2/1/2016
9,Solo Leisure,First  ,,,,,,,11/1/2015
8,Business,Business  ,,,,,,,12/1/2015
2,Family Leisure,Economy  ,,,,,,,2/1/2016
4,Business,Business  ,,,,,,,1/1/2016
8,Solo Leisure,Economy  ,,,,,,,2/1/2016
3,Family Leisure,Economy  ,,,,,,,2/1/2016
10,Couple Leisure,Economy  ,,,,,,,1/1/2016
8,Solo Leisure,Economy  ,,,,,,,1/1/2016
5,Couple Leisure,First  ,,,,,,,2/1/2016
1,Couple Leisure,Premium Economy,,,,,,,2/1/2016
8,Couple Leisure,First  ,,,,,,,1/1/2016
7,Couple Leisure,Economy  ,,,,,,,1/1/2016
10,Business,First  ,,,,,,,1/1/2016
7,Solo Leisure,Business  ,,,,,,,10/1/2015
1,Solo Leisure,Economy  ,,,,,,,1/1/2016
2,Solo Leisure,Economy  ,,,,,,,12/1/2015
3,Couple Leisure,Economy  ,,,,,,,1/1/2016
7,Couple Leisure,Business  ,,,,,,,1/1/2016
1,Couple Leisure,Business  ,,,,,,,1/1/2016
7,Family Leisure,Economy  ,,,,,,,1/1/2016
4,Couple Leisure,Economy  ,,,,,,,1/1/2016
3,Couple Leisure,Business  ,,,,,,,1/1/2016
10,Couple Leisure,Economy  ,,,,,,,12/1/2015
10,Solo Leisure,Premium Economy,,,,,,,12/1/2015
6,Solo Leisure,Premium Economy,,,,,,,1/1/2016
1,Solo Leisure,Premium Economy,,,,,,,1/1/2016
6,Solo Leisure,Economy  ,,,,,,,10/1/2015
7,Solo Leisure,Economy  ,,,,,,,9/1/2015
1,Family Leisure,Premium Economy,,,,,,,1/1/2016
4,Couple Leisure,Economy  ,,,,,,,12/1/2015
8,Solo Leisure,Economy  ,,,,,,,9/1/2015
2,Business,Economy  ,,,,,,,1/1/2016
8,Solo Leisure,Economy  ,,,,,,,1/1/2016
4,Solo Leisure,First  ,,,,,,,12/1/2015
8,Solo Leisure,Business  ,,,,,,,2/1/2015
2,Family Leisure,Economy  ,,,,,,,1/1/2016
8,Solo Leisure,Economy  ,,,,,,,1/1/2016
2,Business,Economy  ,,,,,,,12/1/2015
3,Couple Leisure,Economy  ,,,,,,,9/1/2015
7,Couple Leisure,Business  ,,,,,,,1/1/2016
7,Solo Leisure,Economy  ,,,,,,,1/1/2016
1,Couple Leisure,Business  ,,,,,,,12/1/2015
3,Business,Business  ,,,,,,,10/1/2015
6,Family Leisure,Premium Economy,,,,,,,12/1/2015
8,Family Leisure,Economy  ,,,,,,,12/1/2015
7,Couple Leisure,Business  ,,,,,,,12/1/2015
8,Couple Leisure,First  ,,,,,,,1/1/2016
1,Family Leisure,First  ,,,,,,,12/1/2015
6,Couple Leisure,Premium Economy,,,,,,,1/1/2016
1,Couple Leisure,Economy  ,,,,,,,12/1/2015
3,Couple Leisure,Economy  ,,,,,,,1/1/2016
8,Couple Leisure,Economy  ,,,,,,,1/1/2016
2,Couple Leisure,Economy  ,,,,,,,12/1/2015
7,Solo Leisure,Economy  ,,,,,,,11/1/2015
9,Family Leisure,Economy  ,,,,,,,1/1/2016
2,Solo Leisure,Economy  ,,,,,,,1/1/2016
1,Couple Leisure,Premium Economy,,,,,,,12/1/2015
2,Family Leisure,Economy  ,,,,,,,12/1/2015
6,Solo Leisure,Economy  ,,,,,,,6/1/2015
8,Family Leisure,Business  ,,,,,,,12/1/2015
9,Business,Business  ,,,,,,,11/1/2015
1,Couple Leisure,Business  ,,,,,,,12/1/2015
5,Solo Leisure,Economy  ,,,,,,,11/1/2015
7,Solo Leisure,Economy  ,,,,,,,12/1/2015
4,Solo Leisure,Economy  ,,,,,,,12/1/2015
10,Solo Leisure,Economy  ,,,,,,,12/1/2015
3,Couple Leisure,Economy  ,,,,,,,12/1/2015
1,Business,Economy  ,,,,,,,12/1/2015
5,Solo Leisure,Business  ,,,,,,,12/1/2015
4,Couple Leisure,Premium Economy,,,,,,,10/1/2015
2,Family Leisure,Premium Economy,,,,,,,12/1/2015
3,Business,Economy  ,,,,,,,12/1/2015
1,Family Leisure,Economy  ,,,,,,,12/1/2015
9,Couple Leisure,Business  ,,,,,,,12/1/2015
9,Couple Leisure,Economy  ,,,,,,,12/1/2015
1,Couple Leisure,Economy  ,,,,,,,9/1/2015
1,Couple Leisure,Economy  ,,,,,,,12/1/2015
5,Couple Leisure,First  ,,,,,,,12/1/2015
9,Family Leisure,Economy  ,,,,,,,12/1/2015
9,Couple Leisure,Business  ,,,,,,,12/1/2015
7,Family Leisure,Economy  ,,,,,,,12/1/2015
7,Solo Leisure,Economy  ,,,,,,,12/1/2015
5,Couple Leisure,Business  ,,,,,,,10/1/2015
9,Couple Leisure,Business  ,,,,,,,11/1/2015
1,Solo Leisure,Economy  ,,,,,,,12/1/2015
10,Couple Leisure,Business  ,,,,,,,12/1/2015
3,Solo Leisure,Business  ,,,,,,,12/1/2015
1,Couple Leisure,Premium Economy,,,,,,,11/1/2015
10,Couple Leisure,Business  ,,,,,,,12/1/2015
10,Business,Economy  ,,,,,,,12/1/2015
9,Couple Leisure,Business  ,,,,,,,12/1/2015
7,Business,Business  ,,,,,,,8/1/2015
10,Family Leisure,Economy  ,,,,,,,12/1/2015
1,Business,Premium Economy,,,,,,,11/1/2015
2,Solo Leisure,Economy  ,,,,,,,12/1/2015
3,Couple Leisure,Economy  ,,,,,,,12/1/2015
10,Couple Leisure,Economy  ,,,,,,,12/1/2015
10,Solo Leisure,Economy  ,,,,,,,12/1/2015
8,Solo Leisure,Premium Economy,,,,,,,11/1/2015
6,Solo Leisure,Economy  ,,,,,,,12/1/2015
9,Couple Leisure,Business  ,,,,,,,12/1/2015
9,Solo Leisure,Business  ,,,,,,,12/1/2015
3,Solo Leisure,First  ,,,,,,,8/1/2015
9,Couple Leisure,Business  ,,,,,,,12/1/2015
7,Solo Leisure,Economy  ,,,,,,,12/1/2015
10,Solo Leisure,Economy  ,,,,,,,12/1/2015
4,Couple Leisure,Economy  ,,,,,,,12/1/2015
6,Solo Leisure,Economy  ,,,,,,,11/1/2015
8,Couple Leisure,Premium Economy,,,,,,,12/1/2015
7,Solo Leisure,First  ,,,,,,,11/1/2015
3,Business,First  ,,,,,,,11/1/2015
8,Couple Leisure,Business  ,,,,,,,11/1/2015
6,Couple Leisure,Premium Economy,,,,,,,11/1/2015
1,Couple Leisure,Economy  ,,,,,,,7/1/2015
6,Couple Leisure,Economy  ,,,,,,,11/1/2015
2,Couple Leisure,Economy  ,,,,,,,10/1/2015
5,Couple Leisure,Premium Economy,,,,,,,11/1/2015
