Overall Rating,Type Of Traveller,Seat Type,Arrival,A Country V,Departure,D Country V,Date Flown
1,Couple Leisure,Economy  ,London,United Kingdom,Cape Town,South Africa,6/1/2023
1,Couple Leisure,Economy  ,London,United Kingdom,Ibiza,Spain,7/1/2023
3,Business,Business  ,Washington,United States,London,United Kingdom,6/1/2023
10,Solo Leisure,Economy  ,Berlin,Germany,London,United Kingdom,7/1/2023
1,Family Leisure,Economy  ,Glasgow,United Kingdom,London,United Kingdom,6/1/2023
1,Solo Leisure,Economy  ,Dubai,United Arab Emirates,Keflavik,Iceland,5/1/2023
1,Solo Leisure,Economy  ,London,United Kingdom,Madrid,Spain,5/1/2023
1,Family Leisure,Economy  ,London,United Kingdom,Cairo,Egypt,6/1/2023
1,Solo Leisure,Economy  ,New Orleans,United States,London,United Kingdom,6/1/2023
1,Couple Leisure,Business  ,London,United Kingdom,Amman,Jordan,3/1/2023
2,Solo Leisure,Business  ,,,Bodrum,Turkey,6/1/2023
7,Family Leisure,Business  ,London,United Kingdom,Ibiza,Spain,6/1/2023
1,Couple Leisure,Economy  ,London,United Kingdom,Washington,United States,6/1/2023
1,Business,Business  ,Amsterdam,Netherlands,London,United Kingdom,6/1/2023
7,Couple Leisure,Economy  ,London,United Kingdom,Kalamata,Greece,6/1/2023
2,Solo Leisure,Business  ,Cairo,Egypt,London,United Kingdom,6/1/2023
3,Family Leisure,Economy  ,London,United Kingdom,Venice,Italy,6/1/2023
1,Solo Leisure,Economy  ,Dublin,Ireland,London,United Kingdom,6/1/2023
1,Business,Business  ,Tokyo,Japan,Manchester,United Kingdom,6/1/2023
1,Solo Leisure,Economy  ,San Francisco,United States,London,United Kingdom,6/1/2023
3,Family Leisure,Economy  ,Santiago,Chile,London,United Kingdom,5/1/2023
1,Couple Leisure,Economy  ,Seattle,United States,Nice,France,6/1/2023
4,Couple Leisure,Premium Economy,Sydney,Australia,London,United Kingdom,3/1/2023
2,Solo Leisure,Economy  ,Athens,Greece,Durban,South Africa,4/1/2023
9,Solo Leisure,Business  ,Vancouver,Canada,London,United Kingdom,5/1/2023
3,Family Leisure,Economy  ,Vancouver,Canada,Barcelona,Spain,5/1/2023
1,Family Leisure,Economy  ,Boston,United States,Cairo,Egypt,6/1/2023
1,Couple Leisure,Economy  ,London,United Kingdom,Santorini,Greece,5/1/2023
2,Family Leisure,Economy  ,,,Mumbai,India,2/1/2023
10,Solo Leisure,Economy  ,London,United Kingdom,Larnaca,Cyprus,3/1/2023
1,Family Leisure,Economy  ,Nice,France,London,United Kingdom,5/1/2023
9,Family Leisure,Premium Economy,London,United Kingdom,New York,United States,5/1/2023
2,Couple Leisure,Economy  ,Lisbon,Portugal,London,United Kingdom,5/1/2023
10,Solo Leisure,Economy  ,London,United Kingdom,Glasgow,United Kingdom,5/1/2023
2,Business,Business  ,London,United Kingdom,Malaga,Spain,5/1/2023
2,Solo Leisure,Business  ,London,United Kingdom,San Francisco,United States,9/1/2022
